file,line,pattern,exception,comment,operation,risk,b09_related,processed
api/auth/change-password.php,68,D,PDOException $e,user_sessions テーブル未作成時はスキップ,update,Medium,,
api/auth/login.php,95,D,PDOException $e,user_sessions テーブル未作成時はスキップ,select_fetch,High,,
api/auth/logout.php,34,D,PDOException $e,user_sessions テーブル未作成時はスキップ,update,Medium,,
api/auth/me.php,65,D,PDOException $e,マイグレーション未適用時はデフォルト値のまま,unknown,Low,,
api/connect/status.php,31,D,PDOException $e,カラム未存在時はスキップ,select_fetch,High,,
api/customer/checkout-confirm.php,83,D,Exception $e,stripe-connect.php 未存在時はフォールスルー,unknown,Low,,
api/customer/checkout-confirm.php,119,A,PDOException $e,,schema_sniff,Low,,
api/customer/checkout-confirm.php,191,D,PDOException $e,table_sessions 未存在時はスキップ,select_fetch,High,,
api/customer/checkout-confirm.php,200,A,PDOException $e,,schema_sniff,Low,,
api/customer/checkout-confirm.php,261,D,PDOException $e,table_sessions 未存在時はスキップ,update,Medium,,
api/customer/checkout-confirm.php,307,D,PDOException $e,recipes/ingredients テーブル未作成時はスキップ,update,Medium,,
api/customer/checkout-session.php,136,D,Exception $e,stripe-connect.php 未存在時はフォールスルー,unknown,Low,,
api/customer/menu.php,169,D,PDOException $e,テーブル未作成時は空配列のまま,select_fetch,High,,1
api/customer/menu.php,182,D,PDOException $e,カラム未存在時はスキップ,select_fetch,High,,1
api/customer/menu.php,202,D,PDOException $e,order_items テーブル未作成時は空配列のまま,select_fetch,High,,1
api/customer/order-status.php,45,A,PDOException $e,,schema_sniff,Low,,
api/customer/order-status.php,73,A,PDOException $e,,schema_sniff,Low,,
api/customer/order-status.php,132,D,PDOException $e,satisfaction_ratings テーブル未作成,select_fetch,High,,
api/customer/orders.php,77,D,Exception $e,table_sessions 未作成時はスキップ,select_fetch,High,,1
api/customer/orders.php,119,D,PDOException $e,table_sessions 未作成時はスキップ,select_fetch,High,,1
api/customer/orders.php,137,D,PDOException $e,カラム未存在時はスキップ（グレースフルデグラデーション）,select_fetch,High,,1
api/customer/orders.php,163,D,Exception $e,menu-resolver 未対応環境でもブロックしない,unknown,Low,,
api/customer/satisfaction-rating.php,65,D,PDOException $e,テーブル未作成 → INSERT で失敗する（下記 catch で処理）,select_fetch,High,,
api/customer/table-session.php,107,D,Exception $e,table_sessions テーブルが未作成の場合はスキップ,join_select,High,,1
api/customer/table-session.php,163,D,Exception $e,テーブル未作成時はスキップ,unknown,Low,,
api/customer/table-session.php,178,D,Exception $e,カラム未存在時（マイグレーション未適用）はスキップ,select_fetch,High,,1
api/customer/table-session.php,197,D,Exception $e,スキップ,select_fetch,High,,1
api/customer/takeout-orders.php,56,D,PDOException $e,マイグレーション未適用時はデフォルト値のまま,select_fetch,High,,1
