table_name,index_name,columns,non_unique,index_type
attendance_logs,idx_att_status,tenant_id;store_id;status,1,BTREE
attendance_logs,idx_att_tenant_store_date,tenant_id;store_id;clock_in,1,BTREE
attendance_logs,idx_att_user,tenant_id;user_id;clock_in,1,BTREE
attendance_logs,PRIMARY,id,0,BTREE
audit_log,idx_action,action,1,BTREE
audit_log,idx_created,created_at,1,BTREE
audit_log,idx_entity,entity_type;entity_id,1,BTREE
audit_log,idx_tenant_store,tenant_id;store_id,1,BTREE
audit_log,idx_user,user_id,1,BTREE
audit_log,PRIMARY,id,0,BTREE
call_alerts,idx_store_status,store_id;status,1,BTREE
call_alerts,PRIMARY,id,0,BTREE
cart_events,idx_ce_item,item_id;action,1,BTREE
cart_events,idx_ce_store_date,store_id;created_at,1,BTREE
cart_events,PRIMARY,id,0,BTREE
cash_log,idx_cl_store_date,store_id;created_at,1,BTREE
cash_log,PRIMARY,id,0,BTREE
categories,idx_cat_sort,tenant_id;sort_order,1,BTREE
categories,idx_cat_tenant,tenant_id,1,BTREE
categories,PRIMARY,id,0,BTREE
course_phases,idx_cp_course_phase,course_id;phase_number,0,BTREE
course_phases,PRIMARY,id,0,BTREE
course_templates,idx_ct_store,store_id,1,BTREE
course_templates,PRIMARY,id,0,BTREE
daily_recommendations,idx_menu_item,menu_item_id,1,BTREE
daily_recommendations,idx_store_date,store_id;display_date,1,BTREE
daily_recommendations,PRIMARY,id,0,BTREE
ingredients,idx_ing_tenant,tenant_id,1,BTREE
ingredients,PRIMARY,id,0,BTREE
kds_routing_rules,category_id,category_id,1,BTREE
kds_routing_rules,PRIMARY,station_id;category_id,0,BTREE
kds_stations,idx_ks_store,store_id,1,BTREE
kds_stations,PRIMARY,id,0,BTREE
local_item_options,idx_lio_group,group_id,1,BTREE
local_item_options,PRIMARY,local_item_id;group_id,0,BTREE
menu_template_options,idx_mto_group,group_id,1,BTREE
menu_template_options,PRIMARY,template_id;group_id,0,BTREE
menu_templates,idx_mt_category,category_id,1,BTREE
menu_templates,idx_mt_sort,sort_order,1,BTREE
menu_templates,idx_mt_tenant,tenant_id,1,BTREE
menu_templates,PRIMARY,id,0,BTREE
menu_translations,idx_entity,entity_type;entity_id,1,BTREE
