code	http_status	file	line	message
SMAREGI_NOT_CONFIGURED	500	api/smaregi/auth.php	24	スマレジ Client ID が未設定です。POSLA管理者に連絡してください。
NOT_CONNECTED	400	api/smaregi/stores.php	23	スマレジ未連携です
SMAREGI_API_ERROR	502	api/smaregi/stores.php	31	$errMsg . ' (HTTP=' . $result['status'] . ' detail=' . $detail . ')'
MISSING_STORE	400	api/smaregi/import-menu.php	35	store_id は必須です
STORE_NOT_FOUND	404	api/smaregi/import-menu.php	42	店舗が見つかりません
NO_MAPPING	400	api/smaregi/import-menu.php	53	この店舗はスマレジ店舗にマッピングされていません
NOT_CONNECTED	400	api/smaregi/import-menu.php	60	スマレジ未連携です
SMAREGI_API_ERROR	502	api/smaregi/import-menu.php	69	$errMsg . ' (HTTP=' . $result['status'] . ' detail=' . $detail . ')'
INVALID_INPUT	400	api/smaregi/store-mapping.php	46	mappings 配列が必要です
DB_ERROR	500	api/smaregi/store-mapping.php	93	マッピング更新に失敗しました
MISSING_ORDER_ID	400	api/smaregi/sync-order.php	235	order_id は必須です
ORDER_NOT_FOUND	404	api/smaregi/sync-order.php	247	注文が見つかりません
SYNC_FAILED	400	api/smaregi/sync-order.php	253	$result['error']
MISSING_STORE	400	api/kds/ai-kitchen.php	30	store_id は必須です
GEMINI_NETWORK	502	api/kds/ai-kitchen.php	111	'AI通信エラー: ' . $curlError
GEMINI_PARSE	502	api/kds/ai-kitchen.php	116	AIレスポンスの解析に失敗しました
GEMINI_ERROR	502	api/kds/ai-kitchen.php	120	$geminiJson['error']['message'] ?? 'AI APIエラー'
VALIDATION	400	api/kds/close-table.php	27	store_id は必須です
VALIDATION	400	api/kds/close-table.php	28	table_id または order_ids が必要です
NOT_FOUND	404	api/kds/close-table.php	82	未会計の注文またはアクティブなセッションがありません
DB_ERROR	500	api/kds/close-table.php	137	'会計処理に失敗しました: ' . $e->getMessage()
VALIDATION	400	api/kds/advance-phase.php	25	store_id と table_id は必須です
NO_COURSE_SESSION	404	api/kds/advance-phase.php	43	アクティブなコースセッションが見つかりません
MISSING_STORE	400	api/kds/call-alerts.php	25	store_id は必須です
MISSING_ALERT_ID	400	api/kds/call-alerts.php	83	alert_id は必須です
INVALID_STATUS	400	api/kds/call-alerts.php	87	status は acknowledged のみ指定可能です
UPDATE_FAILED	500	api/kds/call-alerts.php	116	アラートの更新に失敗しました
MISSING_STORE	400	api/kds/call-alerts.php	169	store_id は必須です
MISSING_FIELDS	400	api/kds/cash-log.php	50	store_id と type は必須です
INVALID_TYPE	400	api/kds/cash-log.php	56	無効な種別です
PIN_REQUIRED	400	api/kds/cash-log.php	65	レジ金庫の操作には担当スタッフ PIN の入力が必要です
INVALID_PIN	400	api/kds/cash-log.php	68	担当 PIN は 4〜8 桁の数字で入力してください
MIGRATION	500	api/kds/cash-log.php	85	PIN 機能のマイグレーションが未適用です (migration-cp1-cashier-pin.sql / migration-l3-shift-management.sql)
PIN_INVALID	401	api/kds/cash-log.php	98	PIN が一致しないか、対象スタッフが出勤中ではありません
MISSING_FIELDS	400	api/kds/update-item-status.php	26	item_id, status, store_id は必須です
INVALID_STATUS	400	api/kds/update-item-status.php	33	無効なステータスです
ITEM_NOT_FOUND	404	api/kds/update-item-status.php	42	品目が見つかりません
MISSING_FIELDS	400	api/kds/update-status.php	25	order_id, status, store_id は必須です
INVALID_STATUS	400	api/kds/update-status.php	32	無効なステータスです
ORDER_NOT_FOUND	404	api/kds/update-status.php	41	注文が見つかりません
MISSING_FIELDS	400	api/kds/sold-out.php	35	store_id, menu_item_id, source, is_sold_out は必須です
INVALID_SOURCE	400	api/kds/sold-out.php	59	source は "template" または "local" です
DB_ERROR	500	api/kds/orders.php	33	'orders テーブルが見つかりません: ' . $e->getMessage()
MISSING_FIELDS	400	api/posla/login.php	18	メールアドレスとパスワードは必須です
INVALID_CREDENTIALS	401	api/posla/login.php	32	メールアドレスまたはパスワードが正しくありません
NOT_FOUND	404	api/posla/tenants.php	39	テナントが見つかりません
MISSING_ID	400	api/posla/tenants.php	70	テナントIDは必須です
NOT_FOUND	404	api/posla/tenants.php	77	テナントが見つかりません
INVALID_PLAN	400	api/posla/tenants.php	87	プランが不正です
NO_CHANGES	400	api/posla/tenants.php	106	更新項目がありません
MISSING_SLUG	400	api/posla/tenants.php	126	slugは必須です
INVALID_SLUG	400	api/posla/tenants.php	129	slugは半角英小文字・数字・ハイフンのみ使用できます
MISSING_NAME	400	api/posla/tenants.php	132	テナント名は必須です
INVALID_PLAN	400	api/posla/tenants.php	135	プランが不正です
DUPLICATE_SLUG	409	api/posla/tenants.php	142	このslugは既に使用されています
NO_CHANGES	400	api/posla/settings.php	72	更新項目がありません
MISSING_FIELDS	400	api/posla/change-password.php	25	現在のパスワードを入力してください
MISSING_FIELDS	400	api/posla/change-password.php	28	新しいパスワードを入力してください
ADMIN_NOT_FOUND	404	api/posla/change-password.php	40	管理者が見つかりません
INVALID_CURRENT_PASSWORD	401	api/posla/change-password.php	44	現在のパスワードが正しくありません
SAME_PASSWORD	400	api/posla/change-password.php	48	新しいパスワードは現在のパスワードと異なるものを設定してください
FORBIDDEN	403	api/posla/monitor-events.php	17	POSLA管理者のみアクセス可能です
MISSING_ID	400	api/posla/monitor-events.php	53	id が必要です
UNAUTHORIZED	401	api/posla/auth-helper.php	40	POSLA管理者ログインが必要です
ALREADY_SETUP	403	api/posla/setup.php	26	初期セットアップは完了済みです
MISSING_EMAIL	400	api/posla/setup.php	35	メールアドレスは必須です
MISSING_PASSWORD	400	api/posla/setup.php	38	パスワードは必須です
MISSING_NAME	400	api/posla/setup.php	42	表示名は必須です
